N;Disability program;Water resourses project;Adoption project;Law on helthcare;Salvador project;Law on religions;Antisatellite project;Nicaragua assistance project;Rocket project;Law on immigrants;Alternative fuel sources;Law on education;Project on funds;Project on crime;Project of customs ;Project exports;Class
1;no;no;yes;yes;yes;yes;no;no;yes;yes;no;yes;yes;yes;no;yes;republican
2;yes;no;yes;yes;yes;yes;yes;yes;no;yes;no;yes;no;yes;yes;yes;republican
3;no;yes;yes;no;yes;abstain;yes;no;no;yes;yes;no;yes;no;yes;yes;democrat
4;yes;no;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;yes;democrat
5;no;yes;no;yes;yes;yes;no;no;no;no;yes;yes;yes;yes;no;no;republican
6;yes;yes;yes;no;yes;yes;no;yes;no;no;yes;no;yes;no;yes;yes;democrat
7;no;yes;yes;no;no;no;yes;yes;yes;yes;yes;no;no;no;yes;yes;democrat
8;no;no;no;no;yes;yes;yes;no;no;no;no;yes;yes;yes;no;yes;democrat
9;yes;yes;yes;no;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;democrat
10;no;yes;yes;no;no;yes;yes;yes;no;yes;yes;no;yes;yes;no;abstain;democrat
11;no;no;yes;yes;no;no;yes;yes;yes;yes;no;no;no;yes;yes;yes;republican
12;no;yes;yes;no;yes;yes;no;yes;no;no;no;no;no;no;no;yes;democrat
13;no;abstain;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;no;republican
14;yes;yes;no;no;yes;yes;no;no;no;no;yes;yes;yes;yes;yes;no;democrat
15;yes;no;yes;no;no;no;yes;yes;yes;yes;yes;no;no;yes;yes;yes;democrat
16;yes;yes;yes;no;yes;yes;yes;yes;no;yes;yes;no;no;no;yes;abstain;democrat
17;yes;yes;yes;no;no;no;yes;yes;yes;yes;no;no;yes;no;no;yes;democrat
18;no;abstain;yes;no;no;no;yes;yes;yes;yes;yes;no;no;yes;yes;yes;democrat
19;yes;yes;yes;no;no;no;no;yes;yes;no;yes;no;no;no;yes;yes;democrat
20;no;yes;yes;no;no;yes;yes;yes;yes;no;abstain;no;no;no;no;yes;democrat
21;yes;no;yes;no;no;yes;yes;yes;yes;yes;yes;no;no;no;no;yes;democrat
22;no;yes;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;no;republican
23;no;no;no;yes;yes;yes;no;no;no;yes;no;yes;no;yes;no;yes;republican
24;no;no;no;yes;yes;yes;no;no;no;yes;abstain;yes;yes;yes;no;no;republican
25;no;yes;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;yes;republican
26;no;yes;no;yes;abstain;yes;no;no;no;yes;no;yes;yes;yes;no;no;republican
27;yes;no;yes;no;abstain;no;yes;yes;yes;yes;no;yes;no;abstain;yes;yes;democrat
28;yes;yes;yes;no;no;no;yes;yes;yes;no;yes;no;no;no;no;abstain;democrat
29;yes;yes;yes;no;no;no;yes;yes;abstain;yes;no;no;no;no;yes;abstain;democrat
30;no;yes;yes;no;yes;yes;no;no;no;yes;yes;yes;yes;yes;no;abstain;democrat
31;no;abstain;no;no;no;yes;yes;yes;yes;yes;no;no;no;yes;no;abstain;democrat
32;yes;no;yes;no;no;no;yes;yes;yes;yes;no;no;no;no;yes;yes;democrat
33;no;no;yes;no;no;no;yes;yes;yes;no;yes;no;no;no;yes;yes;democrat
34;yes;no;yes;no;no;no;yes;yes;yes;yes;no;no;no;no;yes;yes;democrat
35;no;yes;no;yes;yes;yes;no;no;no;yes;no;abstain;yes;yes;no;no;republican
36;no;no;yes;no;no;yes;yes;yes;yes;no;yes;no;no;no;yes;yes;democrat
37;no;yes;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;no;republican
38;no;abstain;yes;no;yes;yes;no;yes;no;no;yes;no;no;no;no;abstain;democrat
39;no;no;yes;no;no;no;yes;yes;yes;no;no;no;no;yes;yes;yes;democrat
40;no;yes;no;yes;yes;yes;no;no;no;no;no;yes;yes;abstain;no;yes;republican
41;yes;no;yes;no;no;yes;yes;yes;no;yes;yes;no;yes;yes;yes;yes;democrat
42;yes;no;yes;no;no;no;yes;yes;yes;no;no;no;no;no;yes;abstain;democrat
43;no;yes;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;yes;republican
44;yes;no;no;no;yes;yes;yes;no;no;yes;yes;no;no;yes;no;yes;democrat
45;no;no;yes;no;no;no;yes;yes;yes;yes;yes;no;no;no;yes;yes;democrat
46;yes;yes;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;yes;no;yes;democrat
47;no;abstain;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;abstain;republican
48;no;no;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;yes;republican
49;yes;no;yes;no;no;yes;yes;yes;no;no;no;yes;yes;no;no;yes;democrat
50;no;yes;yes;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;yes;republican
51;no;no;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;yes;no;republican
52;no;yes;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;abstain;republican
53;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;yes;no;yes;democrat
54;no;yes;yes;no;yes;yes;no;no;no;no;yes;no;no;no;yes;abstain;democrat
55;no;yes;no;yes;yes;yes;no;no;no;yes;no;yes;abstain;yes;no;no;republican
56;no;no;yes;no;no;yes;yes;yes;yes;yes;no;no;no;yes;abstain;yes;democrat
57;yes;yes;yes;no;yes;yes;no;yes;yes;yes;yes;no;no;no;no;yes;democrat
58;yes;yes;yes;no;no;no;yes;yes;yes;no;yes;no;no;no;yes;yes;democrat
59;no;yes;no;no;yes;yes;no;no;abstain;no;no;yes;yes;yes;no;yes;democrat
60;no;yes;no;yes;yes;yes;no;no;no;yes;yes;yes;yes;no;no;yes;republican
61;no;no;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;no;republican
62;yes;no;yes;no;no;no;yes;yes;yes;no;no;no;no;no;yes;yes;democrat
63;yes;no;yes;no;yes;yes;yes;no;yes;yes;no;no;yes;yes;no;abstain;democrat
64;no;yes;yes;no;no;no;yes;yes;yes;no;no;no;yes;no;abstain;abstain;democrat
65;no;yes;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;yes;republican
66;no;no;no;no;no;no;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;democrat
67;yes;no;yes;no;no;no;yes;yes;yes;yes;no;no;no;no;no;yes;democrat
68;yes;yes;yes;no;yes;yes;no;yes;no;yes;yes;no;yes;yes;yes;yes;democrat
69;no;abstain;abstain;abstain;abstain;abstain;abstain;abstain;abstain;abstain;abstain;abstain;abstain;yes;abstain;abstain;republican
70;yes;no;yes;no;no;no;yes;yes;yes;no;yes;no;no;no;yes;abstain;democrat
71;no;no;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;republican
72;no;yes;no;yes;yes;yes;no;no;no;no;no;yes;abstain;abstain;no;abstain;republican
73;no;abstain;yes;no;no;yes;yes;yes;yes;yes;no;no;no;yes;yes;yes;democrat
74;yes;yes;no;yes;yes;yes;no;no;no;yes;no;no;yes;yes;no;yes;republican
75;no;yes;no;yes;yes;yes;no;no;no;no;yes;yes;no;yes;no;no;republican
76;no;yes;no;yes;yes;yes;no;no;no;no;no;no;yes;yes;abstain;yes;republican
77;yes;yes;yes;no;abstain;no;yes;yes;yes;yes;no;no;no;no;yes;abstain;democrat
78;yes;abstain;no;yes;yes;yes;no;yes;no;no;no;yes;yes;yes;no;yes;republican
79;no;no;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;yes;republican
80;abstain;abstain;abstain;abstain;no;yes;no;yes;yes;no;no;yes;yes;no;no;abstain;democrat
81;no;no;no;yes;yes;yes;yes;no;no;yes;no;yes;yes;yes;no;yes;republican
82;abstain;abstain;abstain;no;no;no;yes;yes;yes;yes;no;no;yes;no;yes;yes;democrat
83;yes;no;yes;no;no;yes;yes;yes;yes;yes;yes;no;no;no;yes;yes;democrat
84;yes;no;yes;no;no;no;yes;yes;yes;abstain;yes;no;no;no;yes;abstain;democrat
85;yes;yes;yes;no;yes;yes;no;no;no;no;yes;abstain;yes;yes;yes;yes;democrat
86;no;yes;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;no;republican
87;no;yes;yes;no;no;yes;yes;yes;yes;no;yes;no;no;yes;yes;yes;democrat
88;no;yes;no;yes;yes;yes;no;no;no;yes;yes;yes;yes;yes;no;no;republican
89;yes;yes;yes;no;no;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;democrat
90;no;abstain;yes;no;no;yes;yes;yes;no;yes;no;no;no;no;yes;abstain;democrat
91;no;yes;no;yes;yes;yes;no;no;no;yes;no;yes;yes;abstain;no;abstain;republican
92;yes;abstain;yes;no;no;no;yes;yes;yes;no;no;no;no;no;yes;abstain;democrat
93;yes;no;yes;no;no;no;no;yes;yes;yes;no;no;no;no;yes;yes;democrat
94;yes;no;yes;no;no;no;yes;yes;yes;yes;yes;no;no;no;yes;yes;democrat
95;yes;abstain;yes;no;no;no;yes;yes;yes;no;no;no;no;no;yes;abstain;democrat
96;yes;yes;yes;yes;yes;no;yes;no;no;no;no;yes;yes;yes;no;yes;republican
97;no;no;no;yes;yes;yes;no;no;no;no;no;yes;yes;yes;no;yes;republican
98;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;no;no;yes;yes;no;yes;republican
99;yes;no;yes;no;no;no;yes;yes;abstain;yes;yes;yes;no;yes;no;yes;democrat
100;no;no;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;no;republican
101;yes;yes;no;yes;yes;yes;no;no;no;no;no;no;yes;yes;no;yes;republican
102;no;yes;no;yes;yes;yes;abstain;no;no;no;no;abstain;yes;yes;no;no;republican
103;yes;yes;yes;no;no;no;yes;yes;yes;no;yes;no;no;no;yes;yes;democrat
104;yes;yes;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;yes;republican
105;no;yes;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;abstain;republican
106;yes;yes;yes;no;no;no;yes;yes;no;no;no;no;no;yes;no;yes;democrat
107;yes;no;no;no;no;yes;yes;yes;yes;yes;no;no;no;yes;yes;yes;democrat
108;no;no;yes;no;no;no;yes;yes;yes;yes;yes;abstain;no;no;yes;yes;democrat
109;no;abstain;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;no;republican
110;yes;abstain;yes;no;abstain;abstain;yes;yes;yes;no;no;no;no;no;yes;abstain;democrat
111;no;yes;yes;yes;yes;yes;no;no;no;yes;yes;no;yes;yes;no;no;democrat
112;no;no;yes;no;no;no;yes;yes;yes;yes;yes;no;no;no;yes;yes;democrat
113;yes;yes;no;yes;yes;yes;yes;no;no;no;no;yes;yes;yes;no;no;republican
114;no;no;yes;no;no;no;yes;yes;yes;yes;no;no;no;no;yes;yes;democrat
115;yes;no;yes;no;no;no;yes;yes;yes;no;no;no;no;no;yes;abstain;democrat
116;no;yes;yes;yes;yes;yes;no;no;no;yes;yes;yes;yes;yes;yes;abstain;republican
117;yes;yes;yes;no;no;no;yes;yes;yes;yes;no;no;no;no;yes;yes;democrat
118;yes;yes;yes;abstain;no;no;no;yes;no;no;yes;abstain;no;no;yes;yes;democrat
119;no;no;no;no;yes;yes;yes;no;no;no;no;abstain;no;yes;yes;yes;democrat
120;no;no;yes;no;no;no;yes;yes;no;yes;yes;no;no;no;yes;abstain;democrat
121;yes;no;no;yes;yes;yes;no;no;no;no;yes;yes;yes;yes;no;no;republican
122;no;yes;yes;no;yes;yes;yes;yes;no;no;yes;no;yes;no;yes;yes;democrat
123;no;no;yes;no;no;no;yes;yes;yes;no;no;abstain;no;no;yes;yes;democrat
124;no;abstain;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;yes;republican
125;yes;yes;yes;no;no;no;yes;yes;yes;no;no;no;no;no;yes;yes;democrat
126;no;yes;yes;yes;yes;yes;yes;abstain;no;no;no;no;abstain;abstain;yes;abstain;republican
127;no;no;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;no;republican
128;yes;yes;yes;no;no;yes;yes;yes;abstain;yes;yes;abstain;no;no;yes;abstain;democrat
129;yes;no;yes;no;no;yes;yes;yes;yes;yes;no;abstain;no;yes;no;yes;democrat
130;yes;no;yes;no;no;yes;yes;yes;yes;yes;no;yes;no;yes;no;abstain;democrat
131;no;yes;yes;abstain;yes;yes;no;yes;no;yes;abstain;no;yes;yes;abstain;yes;democrat
132;no;no;yes;no;no;no;yes;yes;yes;yes;no;no;no;yes;no;yes;democrat
133;no;no;no;yes;yes;yes;yes;yes;no;yes;no;yes;yes;yes;no;yes;republican
134;no;no;no;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;no;yes;republican
135;no;yes;yes;no;no;yes;no;yes;yes;yes;no;no;yes;yes;no;yes;democrat
136;no;yes;yes;no;no;yes;no;yes;yes;no;yes;no;abstain;abstain;abstain;abstain;democrat
137;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;no;no;no;yes;yes;democrat
138;no;yes;yes;no;no;yes;yes;yes;yes;yes;no;abstain;no;no;yes;yes;democrat
139;no;yes;no;yes;yes;yes;no;no;no;no;no;no;yes;yes;no;yes;republican
140;no;yes;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;no;republican
141;no;yes;no;yes;yes;yes;no;no;no;no;yes;abstain;yes;yes;abstain;abstain;republican
142;yes;no;yes;no;no;no;yes;yes;yes;yes;no;no;no;no;yes;yes;democrat
143;no;yes;yes;no;no;no;yes;yes;yes;yes;no;no;no;no;yes;yes;democrat
144;yes;no;yes;no;no;no;yes;yes;yes;no;no;no;no;no;yes;abstain;democrat
145;yes;yes;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;yes;republican
146;no;no;no;yes;yes;yes;no;no;no;yes;no;yes;yes;yes;no;yes;republican
147;yes;no;yes;no;no;no;yes;yes;yes;yes;no;no;no;no;yes;yes;democrat
148;yes;abstain;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;abstain;democrat
149;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;abstain;abstain;abstain;yes;no;yes;republican
150;yes;no;yes;no;no;yes;yes;yes;yes;no;no;yes;abstain;yes;yes;yes;democrat
